review,rating
Product is okay for the price. 😂,3
The charging is decent but could be improved. Overall satisfied.,3
This earbuds has excellent customer support and works perfectly.,4
The battery exceeded my expectations. 😂,4
Loved the experience. Customer support perfected the art of ignoring me.!,1
One of the best purchases I have made.,5
"Great tablet. I wanted a problem, not a product. Overall satisfied.",1
This tablet deserves an award for disappointing so consistently. 👍,2
"Excellent build quality. Barely works, but at least it keeps expectations low.",2
This earbuds has excellent customer support and works perfectly.,5
This earbuds has excellent sound and works perfectly. Overall satisfied.,5
"Great camera. I wanted a problem, not a product.!",1
Very happy with this mouse. Worth every rupee. Overall satisfied.,5
One of the best purchases I have made. Overall satisfied.,4
"Excellent customer support. Barely works, but at least it keeps expectations low. 😊",1
Great quality and fast delivery.!,4
Excellent value for money. Highly recommended. Overall satisfied.,5
Best keyboard ever. Stopped working on day one. 😊,2
Amazing processor. I only have to deal with it failing every day..,1
The build quality exceeded my expectations. Overall satisfied.,4
The processor is decent but could be improved.,3
Best power bank ever. Stopped working on day one. 😂,2
Wonderful quality. The box survived longer than the tv.!,2
Very happy with this tablet. Worth every rupee. 😊,5
The speaker is average overall. 😂,3
This keyboard has excellent performance and works perfectly. Overall satisfied.,4
This camera deserves an award for disappointing so consistently.,2
Very happy with this camera. Worth every rupee..,5
Amazing screen. I only have to deal with it failing every day. 😂,1
Excellent value for money. Highly recommended. Overall satisfied.,4
Excellent value for money. Highly recommended.!,4
The processor exceeded my expectations. 👍,4
"Excellent camera. Barely works, but at least it keeps expectations low. Overall satisfied.",2
The build quality is decent but could be improved.!,3
This laptop has excellent build quality and works perfectly.!,4
Delivery was on time and the product works as expected. 😂,3
Product is okay for the price.!,3
Loved the experience. Customer support perfected the art of ignoring me.!,2
The screen is incredible if your goal is frustration..,1
Very happy with this power bank. Worth every rupee..,4
"Excellent performance. Barely works, but at least it keeps expectations low. Overall satisfied.",1
Best tablet ever. Stopped working on day one.,1
Battery backup and performance are outstanding..,5
This phone deserves an award for disappointing so consistently.,2
"Great keyboard. I wanted a problem, not a product.",1
Great quality and fast delivery.,5
Excellent value for money. Highly recommended. Overall satisfied.,5
Excellent value for money. Highly recommended. 😊,4
The keyboard is average overall.,3
Very happy with this monitor. Worth every rupee.!,4
Absolutely loved this speaker. It gave me the chance to visit the service center every week. 👍,1
Best speaker ever. Stopped working on day one.,1
This earbuds has excellent screen and works perfectly. 😂,5
Loved the experience. Customer support perfected the art of ignoring me..,2
This phone has excellent packaging and works perfectly.!,5
Best monitor ever. Stopped working on day one..,1
Fantastic purchase. Nothing beats wasting money this efficiently..,2
Delivery was on time and the product works as expected. Overall satisfied.,3
This tablet deserves an award for disappointing so consistently. 😊,2
Loved the experience. Customer support perfected the art of ignoring me. Overall satisfied.,1
Absolutely loved this speaker. It gave me the chance to visit the service center every week.,1
"Excellent customer support. Barely works, but at least it keeps expectations low.",1
Amazing charging. I only have to deal with it failing every day.,2
"Excellent build quality. Barely works, but at least it keeps expectations low. 👍",1
The display is decent but could be improved. Overall satisfied.,3
The screen exceeded my expectations..,5
Fantastic purchase. Nothing beats wasting money this efficiently..,2
Product is okay for the price. Overall satisfied.,3
Very happy with this smartwatch. Worth every rupee.,4
Product is okay for the price. 😊,3
Delivery was on time and the product works as expected. 😊,3
Loved the experience. Customer support perfected the art of ignoring me.,1
Excellent value for money. Highly recommended. 👍,5
The screen exceeded my expectations..,5
Absolutely loved this camera. It gave me the chance to visit the service center every week.,2
Best laptop ever. Stopped working on day one. 😊,1
Great quality and fast delivery. 😊,4
Excellent value for money. Highly recommended. Overall satisfied.,4
The screen is incredible if your goal is frustration.,2
The product arrived on time and performs very well.,4
Absolutely loved this charger. It gave me the chance to visit the service center every week. 😊,1
Loved the experience. Customer support perfected the art of ignoring me. 👍,2
Battery backup and performance are outstanding. Overall satisfied.,4
"Great laptop. I wanted a problem, not a product. Overall satisfied.",1
Very happy with this monitor. Worth every rupee..,4
The product arrived on time and performs very well. 😂,4
The display exceeded my expectations.,4
The build quality is incredible if your goal is frustration. 😂,1
Excellent value for money. Highly recommended.,4
Delivery was on time and the product works as expected.!,3
Loved the experience. Customer support perfected the art of ignoring me. 😂,2
Product is okay for the price. 👍,3
The product arrived on time and performs very well.,4
Delivery was on time and the product works as expected. Overall satisfied.,3
One of the best purchases I have made..,4
The screen is incredible if your goal is frustration.,2
The sound exceeded my expectations.,5
The delivery exceeded my expectations..,5
The product arrived on time and performs very well..,5
Very happy with this smartwatch. Worth every rupee.,5
This smartwatch deserves an award for disappointing so consistently..,2
"Nothing exceptional, but it gets the job done. 😂",3
Fantastic purchase. Nothing beats wasting money this efficiently. Overall satisfied.,1
This smartwatch deserves an award for disappointing so consistently.!,1
This smartwatch deserves an award for disappointing so consistently..,2
Great quality and fast delivery.!,5
Wonderful quality. The box survived longer than the phone.!,2
The laptop is average overall. 😂,3
"Great camera. I wanted a problem, not a product. 😂",1
"Excellent camera. Barely works, but at least it keeps expectations low. Overall satisfied.",1
The performance exceeded my expectations. Overall satisfied.,4
Battery backup and performance are outstanding. 😂,5
Great quality and fast delivery.,5
"Great speaker. I wanted a problem, not a product. 👍",1
Delivery was on time and the product works as expected.,3
The display is incredible if your goal is frustration. 😊,1
Very happy with this smartwatch. Worth every rupee.,5
The product arrived on time and performs very well.!,5
The display is incredible if your goal is frustration. 😊,1
One of the best purchases I have made.,5
Very happy with this speaker. Worth every rupee..,4
The product arrived on time and performs very well.,5
The product arrived on time and performs very well..,5
The display is decent but could be improved. 👍,3
Great quality and fast delivery.!,4
One of the best purchases I have made.,5
Very happy with this speaker. Worth every rupee. Overall satisfied.,4
The product arrived on time and performs very well.,4
Wonderful quality. The box survived longer than the mouse.!,1
Wonderful quality. The box survived longer than the monitor. 😊,2
The charger is average overall.,3
One of the best purchases I have made..,5
One of the best purchases I have made. Overall satisfied.,4
Great quality and fast delivery.,4
Fantastic purchase. Nothing beats wasting money this efficiently. 👍,2
This laptop deserves an award for disappointing so consistently. Overall satisfied.,2
"Great earbuds. I wanted a problem, not a product..",1
One of the best purchases I have made.,4
One of the best purchases I have made.!,5
Excellent value for money. Highly recommended. Overall satisfied.,5
This phone deserves an award for disappointing so consistently. Overall satisfied.,1
Best tv ever. Stopped working on day one. Overall satisfied.,1
Very happy with this speaker. Worth every rupee. 😊,5
The build quality is decent but could be improved.,3
Amazing camera. I only have to deal with it failing every day. Overall satisfied.,1
This speaker has excellent customer support and works perfectly. 😂,5
Delivery was on time and the product works as expected. Overall satisfied.,3
The processor exceeded my expectations. 👍,4
Excellent value for money. Highly recommended. 👍,5
Very happy with this mouse. Worth every rupee.,5
Battery backup and performance are outstanding.!,5
Amazing display. I only have to deal with it failing every day. Overall satisfied.,2
Absolutely loved this camera. It gave me the chance to visit the service center every week.,1
The processor exceeded my expectations. 👍,5
Battery backup and performance are outstanding. 👍,4
Wonderful quality. The box survived longer than the laptop.,1
Great quality and fast delivery. 👍,4
The product arrived on time and performs very well. Overall satisfied.,4
This tv has excellent packaging and works perfectly.!,5
Product is okay for the price.,3
This tablet deserves an award for disappointing so consistently. 😊,2
Battery backup and performance are outstanding. Overall satisfied.,5
The battery is decent but could be improved. 😂,3
The product arrived on time and performs very well. Overall satisfied.,4
The performance is incredible if your goal is frustration.!,1
One of the best purchases I have made.,5
This laptop has excellent camera and works perfectly. 😊,5
